City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,ago-are,8.5,3.4167,21.73,99,100,1.93,NG,1720241680
350,santa cruz,-17.8,-63.1667,17.7,39,75,9.26,BO,1720241682
351,san patricio,28.017,-97.5169,29.36,80,7,3.34,US,1720241683
352,sechura,-5.5569,-80.8222,20.21,76,100,5.26,PE,1720241684
353,berriane,32.8265,3.7669,30.45,26,1,3.57,DZ,1720241685
354,broome,42.2506,-75.833,22.61,89,0,3.09,US,1720241686
355,kunshan,31.3776,120.9543,36.94,45,100,4.53,CN,1720241688
356,mar del plata,-38.0023,-57.5575,4.49,88,20,2.24,AR,1720241689
357,houghton,47.1219,-88.569,13.75,97,90,0.45,US,1720241690
358,bulancak,40.9372,38.2291,23.9,69,75,2.57,TR,1720241691
359,saint-pierre,-21.3393,55.4781,23.65,46,0,3.6,RE,1720241692
360,colonia,50.9333,6.95,19.12,80,0,5.14,DE,1720241694
361,port douglas,-16.4833,145.4667,23.4,80,74,8.48,AU,1720241695
